train_up_to_snapshot,test_snapshot,train_domains,test_domains,f1,roc_auc,best_val_f1
10,11,21415,26,0.8181818181818182,,0.9070781616907078
11,12,21437,151,0.8937728937728938,,0.9173367642328724
12,13,21566,3,1.0,,0.9106551952349438
13,14,21568,3,0.5,,0.9164828238260322
14,15,21571,3,0.0,,0.9127214170692431
15,16,21573,40,0.9743589743589743,,0.912480252764613
16,17,21607,10,0.46153846153846156,,0.9068931721659589
17,18,21616,59,0.9557522123893806,,0.914175506268081
18,19,21666,216,0.32558139534883723,,0.6243471273603857
19,20,21850,24,0.8837209302325582,,0.9108124618204032
20,21,21870,4,1.0,,0.9188191881918819
21,22,21874,9,1.0,,0.921760391198044
22,23,21881,337,0.9198717948717948,,0.9102523155541361
23,24,22168,3593,0.8973454043271444,,0.9185905224787363
24,25,25222,155,0.6808510638297872,,0.9271996426976329
25,26,25353,101,0.7831325301204819,,0.9240107913669064
26,27,25439,72,0.6285714285714286,,0.9217625899280576
